Date                    HJD 24...   MagnitudeB    
25.5.2010 8:32:12     55342.3557       12.058     
7.4.2010 15:27:56    55294.6444       12.339	      
27.4.2010 10:52:1    55314.4528       12.613	      
27.4.2010 10:56:12    55314.4557       12.606	      
27.4.2010 11:0:23    55314.4586       12.604	      
27.4.2010 11:4:33    55314.4615       12.612	      
27.4.2010 11:8:44    55314.4644       12.603	      
27.4.2010 11:13:3    55314.4674       12.612	      
27.4.2010 11:17:13    55314.4703       12.612	      
27.4.2010 13:40:4    55314.5695       12.047     
27.4.2010 13:44:15    55314.5724       12.036     
27.4.2010 14:9:35    55314.5900       12.042     
27.4.2010 14:39:7    55314.6105       12.045     
27.4.2010 14:47:28    55314.6163       12.027     
25.5.2010 8:25:17    55342.3509       12.057     
25.5.2010 8:39:15    55342.3606       12.052     
25.5.2010 8:46:10    55342.3654       12.05     
