Date                    HJD 24...   MagnitudeB    MagnitudeIc    MagnitudeV    
30.11.2011 6:33:49    55896.27349       14.809     ######      ######      
30.11.2011 6:34:31    55896.27397     ######      ######        14.434     
30.11.2011 6:35:6    55896.27438     ######        13.885     ######      
30.11.2011 7:18:51    55896.30476       14.877     ######      ######      
30.11.2011 7:19:22    55896.30512     ######      ######        14.440     
30.11.2011 7:19:48    55896.30542     ######        13.912     ######      
30.11.2011 8:22:38    55896.34906       14.861     ######      ######      
30.11.2011 8:23:10    55896.34943     ######      ######        14.494     
30.11.2011 8:23:36    55896.34973     ######        13.958     ######      
30.11.2011 9:47:5    55896.40770       14.941     ######      ######      
30.11.2011 9:47:56    55896.40829     ######      ######        14.540     
30.11.2011 9:48:42    55896.40882     ######        14.033     ######      
1.12.2011 6:47:14    55897.28281       14.882     ######      ######      
1.12.2011 6:47:45    55897.28317     ######      ######        14.428     
1.12.2011 6:48:11    55897.28347     ######        13.927     ######      
1.12.2011 7:44:43    55897.32273       14.950     ######      ######      
1.12.2011 7:45:14    55897.32309     ######      ######        14.534     
1.12.2011 7:45:40    55897.32339     ######        13.999     ######      
1.12.2011 8:29:48    55897.35403       14.969     ######      ######      
1.12.2011 8:30:19    55897.35439     ######      ######        14.586     
1.12.2011 8:30:45    55897.35469     ######        14.057     ######      
1.12.2011 9:14:32    55897.38510       14.941     ######      ######      
1.12.2011 9:15:4    55897.38547     ######      ######        14.536     
1.12.2011 9:15:30    55897.38577     ######        14.003     ######      
2.12.2011 6:19:9    55898.26331       14.900     ######      ######      
2.12.2011 6:19:41    55898.26367     ######      ######        14.529     
2.12.2011 6:20:7    55898.26397     ######        13.997     ######      
2.12.2011 7:21:58    55898.30693       15.013     ######      ######      
2.12.2011 7:22:30    55898.30730     ######      ######        14.586     
2.12.2011 7:22:56    55898.30760     ######        14.069     ######      
2.12.2011 7:58:38    55898.33239       14.921     ######      ######      
2.12.2011 7:59:9    55898.33275     ######      ######        14.527     
2.12.2011 7:59:36    55898.33306     ######        14.006     ######      
2.12.2011 11:8:9    55898.46400       14.132     ######      ######      
2.12.2011 11:8:50    55898.46447     ######      ######        13.895     
2.12.2011 11:9:26    55898.46489     ######        13.559     ######      
3.12.2011 6:17:20    55899.26204       14.976     ######      ######      
3.12.2011 6:18:1    55899.26252     ######      ######        14.587     
3.12.2011 6:18:38    55899.26294     ######        14.043     ######      
3.12.2011 6:48:48    55899.28390       14.813     ######      ######      
3.12.2011 6:49:30    55899.28438     ######      ######        14.446     
3.12.2011 6:50:6    55899.28480     ######        13.944     ######      
3.12.2011 6:59:9    55899.29108       14.698     ######      ######      
3.12.2011 6:59:40    55899.29144     ######      ######        14.358     
3.12.2011 7:0:6    55899.29174     ######        13.900     ######      
3.12.2011 7:7:45    55899.29705       14.518     ######      ######      
3.12.2011 7:8:16    55899.29741     ######      ######        14.207     
3.12.2011 7:8:43    55899.29772     ######        13.801     ######      
3.12.2011 7:17:36    55899.30389       14.262     ######      ######      
3.12.2011 7:18:7    55899.30425     ######      ######        13.975     
3.12.2011 7:18:33    55899.30455     ######        13.655     ######      
3.12.2011 7:34:6    55899.31535       13.743     ######      ######      
3.12.2011 7:34:37    55899.31571     ######      ######        13.620     
3.12.2011 7:35:3    55899.31601     ######        13.424     ######      
3.12.2011 7:50:13    55899.32655       13.498     ######      ######      
3.12.2011 7:50:45    55899.32692     ######      ######        13.428     
3.12.2011 7:51:11    55899.32722     ######        13.303     ######      
3.12.2011 8:3:19    55899.33564       13.523     ######      ######      
3.12.2011 8:3:59    55899.33611     ######      ######        13.429     
3.12.2011 8:4:36    55899.33653     ######        13.275     ######      
3.12.2011 8:15:24    55899.34403       13.563     ######      ######      
3.12.2011 8:16:5    55899.34451     ######      ######        13.493     
3.12.2011 8:16:41    55899.34493     ######        13.348     ######      
3.12.2011 8:42:46    55899.36304       13.819     ######      ######      
3.12.2011 8:43:28    55899.36353     ######      ######        13.655     
3.12.2011 8:44:5    55899.36395     ######        13.438     ######      
3.12.2011 9:16:27    55899.38643       13.978     ######      ######      
3.12.2011 9:17:9    55899.38691     ######      ######        13.818     
3.12.2011 9:17:44    55899.38732     ######        13.520     ######      
3.12.2011 11:40:30    55899.48646       14.585     ######      ######      
3.12.2011 11:41:11    55899.48694     ######      ######        14.236     
3.12.2011 11:41:47    55899.48736     ######        13.751     ######      
4.12.2011 6:24:26    55900.26697       13.473     ######      ######      
4.12.2011 6:24:57    55900.26733     ######      ######        13.402     
4.12.2011 6:25:23    55900.26763     ######        13.271     ######      
4.12.2011 6:34:29    55900.27395       13.494     ######      ######      
4.12.2011 6:35:0    55900.27431     ######      ######        13.419     
4.12.2011 6:35:26    55900.27461     ######        13.300     ######      
4.12.2011 7:2:50    55900.29364       13.673     ######      ######      
4.12.2011 7:3:41    55900.29423     ######      ######        13.570     
4.12.2011 7:4:21    55900.29469     ######        13.341     ######      
4.12.2011 7:12:28    55900.30033       13.737     ######      ######      
4.12.2011 7:13:9    55900.30080     ######      ######        13.620     
4.12.2011 7:13:45    55900.30122     ######        13.379     ######      
4.12.2011 7:21:47    55900.30680       13.805     ######      ######      
4.12.2011 7:22:28    55900.30727     ######      ######        13.668     
4.12.2011 7:23:4    55900.30769     ######        13.439     ######      
4.12.2011 8:15:16    55900.34394       14.102     ######      ######      
4.12.2011 8:15:48    55900.34431     ######      ######        13.904     
4.12.2011 8:16:14    55900.34461     ######        13.566     ######      
4.12.2011 8:47:23    55900.36625       14.258     ######      ######      
4.12.2011 8:47:55    55900.36661     ######      ######        14.033     
4.12.2011 8:48:21    55900.36691     ######        13.614     ######      
4.12.2011 10:9:26    55900.42322       14.605     ######      ######      
4.12.2011 10:10:17    55900.42381     ######      ######        14.263     
4.12.2011 10:11:3    55900.42435     ######        13.779     ######      
5.12.2011 6:19:59    55901.26388       13.924     ######      ######      
5.12.2011 6:20:30    55901.26424     ######      ######        13.806     
5.12.2011 6:20:56    55901.26454     ######        13.502     ######      
5.12.2011 6:39:22    55901.27734       14.005     ######      ######      
5.12.2011 6:39:53    55901.27770     ######      ######        13.861     
5.12.2011 6:40:19    55901.27800     ######        13.535     ######      
5.12.2011 7:4:50    55901.29503       14.154     ######      ######      
5.12.2011 7:5:20    55901.29538     ######      ######        13.949     
5.12.2011 7:5:47    55901.29569     ######        13.588     ######      
5.12.2011 7:51:3    55901.32712       14.327     ######      ######      
5.12.2011 7:51:34    55901.32748     ######      ######        14.096     
5.12.2011 7:52:0    55901.32778     ######        13.652     ######      
5.12.2011 8:5:13    55901.33696       14.414     ######      ######      
5.12.2011 8:5:44    55901.33732     ######      ######        14.148     
5.12.2011 8:6:10    55901.33762     ######        13.689     ######      
5.12.2011 8:16:41    55901.34492       14.483     ######      ######      
5.12.2011 8:17:12    55901.34528     ######      ######        14.183     
5.12.2011 8:17:38    55901.34558     ######        13.736     ######      
5.12.2011 8:33:26    55901.35656       14.529     ######      ######      
5.12.2011 8:33:57    55901.35692     ######      ######        14.233     
5.12.2011 8:34:24    55901.35723     ######        13.740     ######      
5.12.2011 8:54:34    55901.37123       14.609     ######      ######      
5.12.2011 8:55:5    55901.37159     ######      ######        14.268     
5.12.2011 8:55:32    55901.37190     ######        13.795     ######      
5.12.2011 9:5:21    55901.37872       14.628     ######      ######      
5.12.2011 9:5:51    55901.37907     ######      ######        14.290     
5.12.2011 9:6:18    55901.37938     ######        13.826     ######      
5.12.2011 9:58:33    55901.41566       14.809     ######      ######      
5.12.2011 9:59:4    55901.41603     ######      ######        14.395     
5.12.2011 9:59:30    55901.41633     ######        13.886     ######      
6.12.2011 6:28:47    55902.26999       14.397     ######      ######      
6.12.2011 6:29:18    55902.27035       14.421     ######      ######      
6.12.2011 6:29:49    55902.27071     ######      ######        14.133     
6.12.2011 6:30:15    55902.27101     ######        13.698     ######      
6.12.2011 6:47:17    55902.28284       14.509     ######      ######      
6.12.2011 6:47:38    55902.28308     ######      ######        14.186     
6.12.2011 6:47:55    55902.28328     ######        13.720     ######      
6.12.2011 7:35:36    55902.31639       14.624     ######      ######      
6.12.2011 7:35:57    55902.31664     ######      ######        14.306     
6.12.2011 7:36:13    55902.31682     ######        13.795     ######      
6.12.2011 7:36:51    55902.31726       14.653     ######      ######      
6.12.2011 7:37:5    55902.31742     ######      ######        14.277     
6.12.2011 7:37:15    55902.31754     ######        13.791     ######      
6.12.2011 8:5:25    55902.33710       14.748     ######      ######      
6.12.2011 8:5:46    55902.33734     ######      ######        14.373     
6.12.2011 8:6:3    55902.33754     ######        13.845     ######      
6.12.2011 8:36:53    55902.35895       14.853     ######      ######      
6.12.2011 8:37:14    55902.35919     ######      ######        14.441     
6.12.2011 8:37:30    55902.35938     ######        13.860     ######      
7.12.2011 6:28:54    55903.27008       14.708     ######      ######      
7.12.2011 6:29:15    55903.27032     ######      ######        14.339     
7.12.2011 6:29:31    55903.27050     ######        13.798     ######      
7.12.2011 7:10:12    55903.29875       14.829     ######      ######      
7.12.2011 7:10:33    55903.29900     ######      ######        14.452     
7.12.2011 7:10:50    55903.29919     ######        13.910     ######      
7.12.2011 7:42:24    55903.32112       14.930     ######      ######      
7.12.2011 7:42:46    55903.32137     ######      ######        14.472     
7.12.2011 7:43:1    55903.32155     ######        13.919     ######      
7.12.2011 8:4:15    55903.33629       14.942     ######      ######      
7.12.2011 8:4:36    55903.33653     ######      ######        14.534     
7.12.2011 8:4:53    55903.33673     ######        13.979     ######      
7.12.2011 8:26:1    55903.35141       14.955     ######      ######      
7.12.2011 8:26:23    55903.35166     ######      ######        14.540     
7.12.2011 8:26:38    55903.35184     ######        13.977     ######      
7.12.2011 8:51:50    55903.36933       14.979     ######      ######      
7.12.2011 8:52:10    55903.36957     ######      ######        14.573     
7.12.2011 8:52:27    55903.36976     ######        13.992     ######      
8.12.2011 6:25:13    55904.26752       14.930     ######      ######      
8.12.2011 6:25:44    55904.26788     ######      ######        14.518     
8.12.2011 6:26:11    55904.26819     ######        13.919     ######      
8.12.2011 7:32:28    55904.31422       14.968     ######      ######      
8.12.2011 7:32:59    55904.31458     ######      ######        14.568     
8.12.2011 7:33:25    55904.31488     ######        13.996     ######      
8.12.2011 8:12:46    55904.34221       14.979     ######      ######      
8.12.2011 8:13:18    55904.34257     ######      ######        14.561     
8.12.2011 8:42:18    55904.36271       14.935     ######      ######      
8.12.2011 8:42:50    55904.36308     ######      ######        14.559     
8.12.2011 8:43:16    55904.36338     ######        14.023     ######      
9.12.2011 6:24:51    55905.26726       15.007     ######      ######      
9.12.2011 6:25:22    55905.26762     ######      ######        14.581     
9.12.2011 6:25:45    55905.26789     ######        14.007     ######      
9.12.2011 6:49:17    55905.28423       14.982     ######      ######      
9.12.2011 6:49:48    55905.28459     ######      ######        14.570     
9.12.2011 6:50:14    55905.28489     ######        14.014     ######      
9.12.2011 7:36:14    55905.31683       14.952     ######      ######      
9.12.2011 7:36:52    55905.31728     ######      ######        14.548     
9.12.2011 7:37:22    55905.31762     ######        13.985     ######      
9.12.2011 8:4:27    55905.33643       15.003     ######      ######      
9.12.2011 8:4:53    55905.33673     ######      ######        14.622     
9.12.2011 8:5:15    55905.33699     ######        14.056     ######      
9.12.2011 8:19:30    55905.34688       15.053     ######      ######      
9.12.2011 8:20:1    55905.34724     ######      ######        14.654     
9.12.2011 8:20:28    55905.34755     ######        14.139     ######      
9.12.2011 8:40:37    55905.36154       15.114     ######      ######      
9.12.2011 8:41:8    55905.36190     ######      ######        14.701     
9.12.2011 8:41:34    55905.36220     ######        14.148     ######      
10.12.2011 6:24:6    55906.26674       14.927     ######      ######      
10.12.2011 6:24:37    55906.26710     ######      ######        14.578     
10.12.2011 6:25:4    55906.26741     ######        14.032     ######      
10.12.2011 6:47:41    55906.28312       15.058     ######      ######      
10.12.2011 6:48:12    55906.28348     ######      ######        14.603     
10.12.2011 6:48:33    55906.28372     ######        14.112     ######      
10.12.2011 6:54:8    55906.28760       15.056     ######      ######      
10.12.2011 6:54:39    55906.28796     ######      ######        14.651     
10.12.2011 6:55:0    55906.28820     ######        14.117     ######      
10.12.2011 7:21:36    55906.30667     ######      ######        14.719     
10.12.2011 7:22:3    55906.30698     ######        14.122     ######      
10.12.2011 7:39:24    55906.31903       15.105     ######      ######      
10.12.2011 7:40:3    55906.31948     ######      ######        14.648     
10.12.2011 7:40:32    55906.31982     ######        14.093     ######      
10.12.2011 7:50:29    55906.32673       14.954     ######      ######      
10.12.2011 7:51:0    55906.32709     ######      ######        14.530     
10.12.2011 7:51:26    55906.32739     ######        14.015     ######      
10.12.2011 7:59:15    55906.33282       14.708     ######      ######      
10.12.2011 7:59:46    55906.33318     ######      ######        14.357     
10.12.2011 8:0:12    55906.33348     ######        13.926     ######      
10.12.2011 8:13:26    55906.34267       14.204     ######      ######      
10.12.2011 8:13:56    55906.34302     ######      ######        13.985     
10.12.2011 8:14:23    55906.34333     ######        13.657     ######      
10.12.2011 8:19:38    55906.34697       13.959     ######      ######      
10.12.2011 8:20:9    55906.34733     ######      ######        13.765     
10.12.2011 8:20:35    55906.34763     ######        13.512     ######      
10.12.2011 8:28:47    55906.35333       13.565     ######      ######      
10.12.2011 8:29:19    55906.35370     ######      ######        13.456     
10.12.2011 8:29:45    55906.35400     ######        13.328     ######      
10.12.2011 8:37:5    55906.35909       13.371     ######      ######      
10.12.2011 8:37:36    55906.35945     ######      ######        13.315     
10.12.2011 8:38:2    55906.35975     ######        13.211     ######      
10.12.2011 8:48:59    55906.36736       13.299     ######      ######      
10.12.2011 8:49:22    55906.36762     ######      ######        13.246     
10.12.2011 8:49:37    55906.36780     ######        13.154     ######      
10.12.2011 8:56:11    55906.37236       13.277     ######      ######      
10.12.2011 9:36:50    55906.40058       13.643     ######      ######      
10.12.2011 9:37:21    55906.40094     ######      ######        13.538     
10.12.2011 9:37:47    55906.40124     ######        13.371     ######      
